Target_Gene,Raw_CASX_Score,CASX_Score
JAZF1,3.344013501529679,100.0
SUGP1,1.8550124541975166,50.0412758753246
GCK,1.6516203267193408,43.21709586281299
GRB14,1.5853801137556245,40.9946148703763
IRS1,1.5814040762214565,40.86121149726603
PROX1,1.1053477468065407,24.88864594960735
ZFAND6,1.099232366409907,24.683463688184325
CDKN2B,1.0962428345796942,24.583159396098615
NOTCH2,0.961666291743347,20.06786883316738
TCF7L2,0.9212574203222709,18.71207686570567
ZMIZ1,0.8331126729371272,15.754658450491318
PPARG,0.8329850027390928,15.750374880500571
KCNQ1,0.8327955883483822,15.744019679268371
ZBED3,0.822503321267068,15.398695186277502
FTO,0.778024361603407,13.906344271433783
CDKN2A,0.7772191765882581,13.879328833054329
CRY2,0.7312490424115399,12.336946270312813
GCKR,0.7199205375537279,11.956854093782448
IGF2BP2,0.7178864238124345,11.888605836051829
KCNJ11,0.7056798068297276,11.479051382462119
TMEM154,0.6916918590411147,11.009730003613027
KLF14,0.6022957912307206,8.010327486353438
FAF1,0.6001431467837057,7.938102305411073
ADAMTS9,0.5847244963392877,7.420778220711723
VEGFA,0.5759400369559062,7.126043449567623
ADCY5,0.4863108402063017,4.1188190275616545
TSPAN8,0.46699909809341766,3.4708745561235315
CDKAL1,0.4650370873383453,3.4050454862125807
HHEX,0.36355098287876453,0.0
